mes_lancamento,plano_orcamentario_nome,fase_da_despesa,nome_do_gasto,acao_governo_codigo,gasto_item,instrumento_inicial,agrupamento,instrumento_final,data,encerramento,detalhamento_do_gasto
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2000,873018,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2004,7992814,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20GK,103365,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20RG,52771,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20RK,1990987,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20RL,483905,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20TP,159903012,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20U4,12774,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20UF,305819,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20XT,3559789,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20YU,7897,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,212B,10858614,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,215I,5208041,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21AR,533601,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21AS,239338,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21B3,2160,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21BO,3345133,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2726,43286,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2792,414320,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2810,1700,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2994,2941018,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2D58,9831,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,4002,6627148,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,4086,6750492,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,4815,363929,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,509,611657,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,515,80259096,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2000,3372960,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2004,65577918,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20GK,115142,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
