mes_lancamento,plano_orcamentario_nome,fase_da_despesa,nome_do_gasto,gasto_item,instrumento_inicial,agrupamento,instrumento_final,data,encerramento,detalhamento_do_gasto,conta_rtn,Valor
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,293495515,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,293495515,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,688811371,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,688811371,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,6549430,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,6549430,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,13600796,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,13600796,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,5854622,CORONAVIRUS (COVID19),NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,5854622,CORONAVIRUS (COVID19),NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,6358439,CORONAVIRUS (COVID19),NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,6358439,CORONAVIRUS (COVID19),NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19) - REGRA DE OURO,Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,180920,CORONAVIRUS (COVID19) - REGRA DE OURO,NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19) - REGRA DE OURO,Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,180920,CORONAVIRUS (COVID19) - REGRA DE OURO,NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19) - REGRA DE OURO,Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,496537,CORONAVIRUS (COVID19) - REGRA DE OURO,NA,NA,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19) - REGRA DE OURO,Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,496537,CORONAVIRUS (COVID19) - REGRA DE OURO,NA,NA,NA,NA,NA,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.001, DE 15 DE SETEMBRO DE 2020",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,6300,MP nº 1015/2020,Medidas Sanitárias,NA,2020-12-17T00:00:00Z,NA,Vacina - sem especificação,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.001, DE 15 DE SETEMBRO DE 2020",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,6300,MP nº 1001/2020,Outras Medidas,NA,2020-09-15T00:00:00Z,NA,"ME: ENEM, ENCCEJA e REVALIDA; MC: cisternas",NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.001, DE 15 DE SETEMBRO DE 2020",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,69202775,MP nº 1015/2020,Medidas Sanitárias,NA,2020-12-17T00:00:00Z,NA,Vacina - sem especificação,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.001, DE 15 DE SETEMBRO DE 2020",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,69202775,MP nº 1001/2020,Outras Medidas,NA,2020-09-15T00:00:00Z,NA,"ME: ENEM, ENCCEJA e REVALIDA; MC: cisternas",NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.004, DE 24 DE SETEMBRO DE 2020 - ACESSO GLOBAL DE VACINAS (COVAX FACILITY)",Pagamento,Aquisição de Vacinas,217900802,MP nº 1004/2020,Medidas Sanitárias,Lei nº 14122/2020,2020-09-24T00:00:00Z,NA,Vacina - Covax,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.004, DE 24 DE SETEMBRO DE 2020 - ACESSO GLOBAL DE VACINAS (COVAX FACILITY)",Pagamento,Aquisição de Vacinas,217900802,MP nº 1004/2020,Medidas Sanitárias,Lei nº 14122/2020,2020-09-24T00:00:00Z,NA,Vacina - Covax,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.004, DE 24 DE SETEMBRO DE 2020 - ACESSO GLOBAL DE VACINAS (COVAX FACILITY)",Previsão,Aquisição de Vacinas,1682804743,MP nº 1004/2020,Medidas Sanitárias,Lei nº 14122/2020,2020-09-24T00:00:00Z,NA,Vacina - Covax,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.004, DE 24 DE SETEMBRO DE 2020 - ACESSO GLOBAL DE VACINAS (COVAX FACILITY)",Previsão,Aquisição de Vacinas,1682804743,MP nº 1004/2020,Medidas Sanitárias,Lei nº 14122/2020,2020-09-24T00:00:00Z,NA,Vacina - Covax,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.007, DE 2 DE OUTUBRO DE 2020",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,7132902,MP nº 1007/2020,Medidas Sanitárias,NA,2020-10-02T00:00:00Z,NA,Ampliação da capacidade de atendimento,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.007, DE 2 DE OUTUBRO DE 2020",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,7132902,MP nº 1007/2020,Medidas Sanitárias,NA,2020-10-02T00:00:00Z,NA,Ampliação da capacidade de atendimento,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.007, DE 2 DE OUTUBRO DE 2020",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,34207903,MP nº 1007/2020,Medidas Sanitárias,NA,2020-10-02T00:00:00Z,NA,Ampliação da capacidade de atendimento,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.007, DE 2 DE OUTUBRO DE 2020",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,34207903,MP nº 1007/2020,Medidas Sanitárias,NA,2020-10-02T00:00:00Z,NA,Ampliação da capacidade de atendimento,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.008, DE 26 DE OUTUBRO DE 2020",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,182738931,MP nº 1008/2020,Proteção Social,NA,2020-10-26T00:00:00Z,NA,"Alimentação povos indígenas, quilombolas etc",NA,NA
