"","mes_lancamento","Medidas Federativas","Medidas Sanitárias","Proteção Social","sem grupo","Suporte ao Trabalho"
"1",2020-02-01,0,131710.5,0,0,0
"2",2020-03-01,0,1038027718.10759,0,0,0
"3",2020-04-01,1029968361.25,4719015982.55945,36294077195,1076284.85,17325465302
"4",2020-05-01,937450193.52,3347310346.16129,42454586197.81,122500.02,6505800050
"5",2020-06-01,19676342249.55,2875842377.0843,46041896106.62,705269.41,19604927647.59
"6",2020-07-01,18295008025.29,6975176584.0024,45937863840.68,2566894.49,0
"7",2020-08-01,15234648044.93,9565133032.13683,45737183356.2,200286407.22,22224762851.47
"8",2020-09-01,17099915647.55,4271252697.93107,26425814032.88,74925137.39,25547188630.11
"9",2020-10-01,2973205311.27,2047260759.17638,21527178384.89,12224115.51,1429290656.18001
"10",2020-11-01,231711.630004883,427871709.868416,17917794615.16,323197869.52,0
"11",2020-12-01,420321.509994507,0,17330737742.16,161249903.6,14152972655.54
"12",2021-01-01,0,1227465082,280045823,7455572,478139761
"13",2021-02-01,0,779646225,173344462,494695,51347214
"14",2021-03-01,0,2821230755,421638965,141090,291666855
"15",2021-04-01,0,1260408589,9033982520,1312664,206045387
"16",2021-05-01,0,3074694382,8924577261,1425795022,7099388
"17",2021-06-01,0,684017678,8715296653,1862829003,64794647
"18",2021-07-01,0,119537971,5007975,227642433,161232
